,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate
2307,2149:CA:SCAN,2149,CA,SCAN,Marble Creek,GC,Mono,180901020501,6190.0,37.77767,-118.4209,-8.0,40058,MCXC1,2009-05-06 00:00,2100-01-01 00:00
2311,15:PR:SCAN,15,PR,SCAN,Maricao Forest,GC,UNKNOWN,210100030405,1670.0,18.15,-67.00468,-4.0,28522,MAFP4,2001-05-08 00:00,2100-01-01 00:00
2313,2225:MO:SCAN,2225,MO,SCAN,Mark Twain HS,GC,Ralls,071100070205,730.0,39.51311,-91.51401,-6.0,2018MO,CNRM7,2018-05-17 00:00,2100-01-01 00:00
2329,2043:NH:SCAN,2043,NH,SCAN,Mascoma River,GC,Grafton,010801060101,1390.0,43.7756,-72.02593,-5.0,24097,MSRN3,1998-08-03 00:00,2100-01-01 00:00
2330,2004:IL:SCAN,2004,IL,SCAN,Mason #1,GC,Mason,071300030507,490.0,40.31314,-89.90187,-6.0,18819,MASI2,1993-10-01 00:00,2100-01-01 00:00
2336,2110:MS:SCAN,2110,MS,SCAN,Mayday,GC,Yazoo,080302060902,100.0,32.86153,-90.51989,-6.0,32626,MAYM6,2005-09-23 00:00,2100-01-01 00:00
2347,2075:TN:SCAN,2075,TN,SCAN,McAllister Farm,GC,Lincoln,060300020302,940.0,35.06445,-86.59137,-6.0,30332,MCAT1,2003-06-02 00:00,2100-01-01 00:00
2354,2140:UT:SCAN,2140,UT,SCAN,Mccracken Mesa,GC,San Juan,140802010508,5310.0,37.44671,-109.33776,-7.0,34636,RACU1,2007-09-19 00:00,2100-01-01 00:00
2433,2129:UT:SCAN,2129,UT,SCAN,Milford,GC,Beaver,160300070406,5000.0,38.34196,-113.01053,-7.0,34113,MFRU1,2007-05-12 00:00,2100-01-01 00:00
2472,2232:PR:SCAN,2232,PR,SCAN,Miradero,GC,UNKNOWN,210100030302,130.0,18.21139,-67.13454,-4.0,21400,AYGP4,2022-05-04 00:00,2100-01-01 00:00
2498,2119:MT:SCAN,2119,MT,SCAN,Moccasin,GC,Judith Basin,100401030508,4250.0,47.05818,-109.95082,-7.0,33996,MSCM8,2006-10-21 00:00,2100-01-01 00:00
2503,2014:OH:SCAN,2014,OH,SCAN,Molly Caren #1,GC,Madison,050600020102,1030.0,39.95,-83.45,-5.0,19347,MOLO1,1993-10-01 00:00,2100-01-01 00:00
2511,2217:CA:SCAN,2217,CA,SCAN,Monocline Ridge,GC,Fresno,180300090904,890.0,36.54417,-120.55463,-8.0,,RGMC1,2014-10-29 00:00,2100-01-01 00:00
2529,2062:AK:SCAN,2062,AK,SCAN,Moose Inc,GC,Kenai Peninsula,190203010806,110.0,59.68881,-151.37108,-9.0,,MOIA2,2002-05-06 00:00,2100-01-01 00:00
2538,2133:UT:SCAN,2133,UT,SCAN,Morgan,GC,Morgan,160201020106,5120.0,40.9999,-111.68555,-7.0,34633,MRGU1,2007-05-17 00:00,2100-01-01 00:00
2545,2178:AL:SCAN,2178,AL,SCAN,Morris Farms,GC,Macon,031501100504,220.0,32.41222,-85.91028,-6.0,70254,MRSA1,2010-04-13 00:00,2100-01-01 00:00
2581,2041:VT:SCAN,2041,VT,SCAN,Mount Mansfield,GC,Chittenden,041504050201,2310.0,44.53509,-72.83451,-5.0,25911,MMSV1,2000-09-13 00:00,2100-01-01 00:00
2594,2134:UT:SCAN,2134,UT,SCAN,Mountain Home,GC,Duchesne,140600030802,6930.0,40.37263,-110.40602,-7.0,34631,MHMU1,2007-09-11 00:00,2100-01-01 00:00
2606,2060:MO:SCAN,2060,MO,SCAN,Mt Vernon,GC,Lawrence,110702070107,1230.0,37.073,-93.88158,-6.0,28843,MVEM7,2002-03-27 00:00,2100-01-01 00:00
2650,2039:VA:SCAN,2039,VA,SCAN,N Piedmont Arec,GC,Orange,020801060501,550.0,38.23333,-78.11667,-5.0,,NPAV2,2000-06-08 00:00,2100-01-01 00:00
2653,2228:TX:SCAN,2228,TX,SCAN,Nacogdoches,GC,Nacogdoches,120200040705,240.0,31.504,-94.75994,-6.0,TX347,ANFT2,2018-04-26 00:00,2100-01-01 00:00
2669,2137:UT:SCAN,2137,UT,SCAN,Nephi,GC,Juab,160202010101,5250.0,39.64554,-111.87044,-7.0,34632,NPIU1,2007-09-14 00:00,2100-01-01 00:00
2737,2087:MS:SCAN,2087,MS,SCAN,North Issaquena,GC,Issaquena,080302090304,110.0,32.9972,-91.05993,-6.0,31332,NORM6,2004-02-10 00:00,2100-01-01 00:00
2761,2017:CO:SCAN,2017,CO,SCAN,Nunn #1,GC,Weld,101900080301,5470.0,40.85989,-104.74033,-7.0,18289,NUNC2,1993-10-20 00:00,2100-01-01 00:00
2799,2033:MS:SCAN,2033,MS,SCAN,Onward,GC,Sharkey,080302090605,100.0,32.75358,-90.94208,-6.0,24680,OONM6,1999-09-17 00:00,2100-01-01 00:00
2803,674:ID:SCAN,674,ID,SCAN,Orchard Range Site,GC,Ada,170501010901,3190.0,43.32268,-115.99643,-7.0,,ORRI1,1983-10-01 00:00,2100-01-01 00:00
2845,2157:UT:SCAN,2157,UT,SCAN,Panguitch,GC,Garfield,160300010502,6530.0,37.86975,-112.43437,-7.0,40637,PNGU1,2010-01-25 00:00,2100-01-01 00:00
2862,2153:UT:SCAN,2153,UT,SCAN,Park Valley,GC,Box Elder,160203081407,5100.0,41.77318,-113.28596,-7.0,43922,PVLU1,2010-01-14 00:00,2100-01-01 00:00
2893,2037:SC:SCAN,2037,SC,SCAN,Pee Dee,GC,Darlington,030402010809,120.0,34.3,-79.73333,-5.0,,PDDS1,1999-11-15 09:00,2100-01-01 00:00
2901,2181:AL:SCAN,2181,AL,SCAN,Perdido Riv Farms,GC,Escambia,031401060101,300.0,31.10923,-87.55277,-6.0,39762,PRDA1,2010-05-08 00:00,2100-01-01 00:00
2904,2046:MS:SCAN,2046,MS,SCAN,Perthshire,GC,Bolivar,080302071101,150.0,33.9737,-90.90496,-6.0,27796,PERM6,2002-04-16 00:00,2100-01-01 00:00
2917,2093:KS:SCAN,2093,KS,SCAN,Phillipsburg,GC,Phillips,102600120103,1980.0,39.78638,-99.32953,-6.0,31339,PHBK1,2004-06-23 09:00,2100-01-01 00:00
2940,2144:NV:SCAN,2144,NV,SCAN,Pine Nut,GC,Clark,150100150202,6780.0,36.57285,-115.20422,-8.0,2144,NUTN2,2007-10-27 00:00,2100-01-01 00:00
3012,2049:MD:SCAN,2049,MD,SCAN,Powder Mill,GC,Prince George's,020700100203,130.0,39.01667,-76.85,-5.0,27253,PWDM2,2001-10-30 00:00,2100-01-01 00:00
3021,2061:MO:SCAN,2061,MO,SCAN,Powell Gardens,GC,Johnson,103001040102,920.0,38.86667,-94.03333,-6.0,28842,PWGM7,2002-03-27 15:00,2100-01-01 00:00
3023,2016:TX:SCAN,2016,TX,SCAN,Prairie View #1,GC,Waller,120401020101,270.0,30.08333,-95.98333,-6.0,19324,PRVT2,1993-10-01 00:00,2100-01-01 00:00
3027,2132:UT:SCAN,2132,UT,SCAN,Price,GC,Carbon,140600070603,5640.0,39.53288,-110.80604,-7.0,34111,PCEU1,2007-05-16 00:00,2100-01-01 00:00
3037,2005:KY:SCAN,2005,KY,SCAN,Princeton #1,GC,Caldwell,051402050301,600.0,37.1,-87.83333,-6.0,18820,PTNK2,1993-10-01 00:00,2100-01-01 00:00
3067,2238:HI:SCAN,2238,HI,SCAN,Puuwai Ranch,GC,Hawaii,200100000206,2830.0,19.98566,-155.35558,-10.0,,,2024-06-06 00:00,2100-01-01 00:00
3102,2236:CA:SCAN,2236,CA,SCAN,Rancheria,GC,Mono,180901010405,7190.0,38.07666,-119.11417,-8.0,,,2023-09-26 00:00,2100-01-01 00:00
3148,2104:TX:SCAN,2104,TX,SCAN,Reese Center,GC,Lubbock,120500011203,3330.0,33.61536,-102.03869,-6.0,30942,REET2,2005-03-10 00:00,2100-01-01 00:00
3161,2089:VA:SCAN,2089,VA,SCAN,Reynolds Homestead,GC,Patrick,030101030407,1120.0,36.64517,-80.14902,-5.0,,REYV2,2004-04-07 17:00,2100-01-01 00:00
3176,2199:TX:SCAN,2199,TX,SCAN,Riesel,GC,Falls,120701010206,550.0,31.47907,-96.88162,-6.0,,RIET2,2013-09-10 00:00,2100-01-01 00:00
3205,2182:AL:SCAN,2182,AL,SCAN,River Road Farms,GC,Houston,031300040801,110.0,31.01912,-85.03693,-6.0,,RVRA1,2010-05-09 00:00,2100-01-01 00:00
3239,2036:PA:SCAN,2036,PA,SCAN,Rock Springs Pa,GC,Centre,020503020404,1240.0,40.71667,-77.93333,-5.0,24539,RSPP1,1999-11-04 00:00,2100-01-01 00:00
3248,2001:NE:SCAN,2001,NE,SCAN,Rogers Farm #1,GC,Lancaster,102002030905,1200.0,40.85,-96.46667,-6.0,18827,ROFN1,1993-10-19 00:00,2100-01-01 00:00
3274,2229:NV:SCAN,2229,NV,SCAN,Ruby,GC,Elko,160600071103,6010.0,40.63697,-115.2212,-8.0,,RBYN2,2019-08-26 00:00,2100-01-01 00:00
3322,2200:TX:SCAN,2200,TX,SCAN,San Angelo,GC,Tom Green,120901040509,1970.0,31.5496,-100.50748,-6.0,73919,SXXT2,2013-09-11 00:00,2100-01-01 00:00
3338,2159:UT:SCAN,2159,UT,SCAN,Sand Hollow,GC,Washington,150100080907,3090.0,37.10516,-113.35615,-7.0,43932,SHWU1,2010-01-28 00:00,2100-01-01 00:00
3346,2109:MS:SCAN,2109,MS,SCAN,Sandy Ridge,GC,Sunflower,080302070406,130.0,33.65911,-90.57297,-6.0,32625,SRXM6,2005-09-22 00:00,2100-01-01 00:00
3376,2193:MO:SCAN,2193,MO,SCAN,Schell-Osage,GC,St. Clair,102901050206,800.0,37.9872,-94.0364,-6.0,59536,SCOM7,2012-07-24 00:00,2100-01-01 00:00
3380,2063:AK:SCAN,2063,AK,SCAN,Schor Garden,GC,Kenai Peninsula,190203010806,380.0,59.6927,-151.394,-9.0,,SCHA2,2002-05-06 00:00,2100-01-01 00:00
3388,2070:MS:SCAN,2070,MS,SCAN,Scott,GC,Bolivar,080302071801,140.0,33.61962,-91.10184,-6.0,32317,SCOM6,2002-08-12 00:00,2100-01-01 00:00
3399,2012:FL:SCAN,2012,FL,SCAN,Sellers Lake #1,GC,Lake,030801011704,60.0,29.1,-81.63333,-5.0,19323,SLKF1,1994-10-01 00:00,2100-01-01 00:00
3400,2176:AL:SCAN,2176,AL,SCAN,Selma,GC,Dallas,031502011205,140.0,32.40392,-86.89137,-6.0,70253,SMAA1,2010-04-11 00:00,2100-01-01 00:00
3417,2171:NM:SCAN,2171,NM,SCAN,Sevilleta,GC,Socorro,130202030703,5250.0,34.35813,-106.69127,-7.0,53314,SEVN5,2010-03-09 00:00,2100-01-01 00:00
3438,2186:CA:SCAN,2186,CA,SCAN,Shadow Mtns,GC,San Bernardino,180902031105,3580.0,35.46607,-115.7151,-8.0,70989,DWMC1,2011-11-18 00:00,2100-01-01 00:00
3439,2068:IA:SCAN,2068,IA,SCAN,Shagbark Hills,GC,Woodbury,102300031501,1360.0,42.44481,-95.76793,-6.0,28844,SHAI4,2002-06-19 09:00,2100-01-01 00:00
3443,2227:MO:SCAN,2227,MO,SCAN,Shaw Nature Reserve,GC,Franklin,071401020902,580.0,38.47889,-90.80639,-6.0,,SNRM7,2018-05-16 00:00,2100-01-01 00:00
3453,2088:VA:SCAN,2088,VA,SCAN,Shenandoah,GC,Augusta,020802020402,1760.0,37.93299,-79.21513,-5.0,,SHDV2,2004-04-06 00:00,2100-01-01 00:00
3475,2120:MT:SCAN,2120,MT,SCAN,Sidney,GC,Richland,101000042503,2270.0,47.77102,-104.247,-7.0,34002,SISM8,2006-10-24 00:00,2100-01-01 00:00
3484,2086:MS:SCAN,2086,MS,SCAN,Silver City,GC,Humphreys,080302071705,110.0,33.0875,-90.51151,-6.0,31331,SILM6,2004-02-10 00:00,2100-01-01 00:00
3497,2101:HI:SCAN,2101,HI,SCAN,Silver Sword,GC,Hawaii,200100000401,9320.0,19.76505,-155.42348,-10.0,32498,SLVH1,2005-02-19 00:00,2100-01-01 00:00
3506,2231:MO:SCAN,2231,MO,SCAN,Sinkin Forest,GC,Dent,110100080301,1330.0,37.50138,-91.2594,-6.0,,,2021-07-06 00:00,2100-01-01 00:00
3624,2047:MO:SCAN,2047,MO,SCAN,Spickard,GC,Audrain,102801021004,870.0,40.25,-93.71667,-6.0,28816,SPCM7,2001-09-19 00:00,2100-01-01 00:00
3628,2154:UT:SCAN,2154,UT,SCAN,Split Mountain,GC,Uintah,140600101102,4850.0,40.39136,-109.35326,-7.0,43991,SPMU1,2010-01-19 00:00,2100-01-01 00:00
3632,2158:UT:SCAN,2158,UT,SCAN,Spooky,GC,Kane,140700050701,5340.0,37.51468,-111.26189,-7.0,,SPYU1,2010-04-14 00:00,2100-01-01 00:00
3677,2056:AL:SCAN,2056,AL,SCAN,Stanley Farm,GC,Morgan,060300020605,570.0,34.43935,-86.68734,-6.0,27794,STAA1,2002-02-23 00:00,2100-01-01 00:00
3678,2064:MS:SCAN,2064,MS,SCAN,Starkville,GC,Oktibbeha,031601040507,270.0,33.47094,-88.78051,-6.0,27795,STKM6,1999-09-17 00:00,2100-01-01 00:00
3698,2203:TX:SCAN,2203,TX,SCAN,Stephenville,GC,Erath,120602040103,1310.0,32.24535,-98.19563,-6.0,,SPVT2,2013-09-14 00:00,2100-01-01 00:00
3725,2219:CA:SCAN,2219,CA,SCAN,Stubblefield,GC,San Luis Obispo,180600030101,3020.0,34.97018,-119.47831,-8.0,,DLFC1,2014-10-31 00:00,2100-01-01 00:00
3731,2179:AL:SCAN,2179,AL,SCAN,Sudduth Farms,GC,Winston,031601100303,790.0,34.17973,-87.45618,-6.0,70257,SUDA1,2010-04-14 00:00,2100-01-01 00:00
3792,808:MT:SCAN,808,MT,SCAN,Table Mountain,GC,Gallatin,100200071505,4470.0,45.80272,-111.58655,-7.0,34591,TABM8,1986-09-30 00:00,2100-01-01 00:00
3875,2233:NM:SCAN,2233,NM,SCAN,Thoreau,GC,McKinley,130202070101,7070.0,35.40455,-108.1783,-7.0,,,2022-06-01 00:00,2100-01-01 00:00
3889,2008:NC:SCAN,2008,NC,SCAN,Tidewater #1,GC,Washington,030102050103,10.0,35.86667,-76.65,-5.0,18823,TIDN7,1993-10-01 00:00,2100-01-01 00:00
3903,2082:MS:SCAN,2082,MS,SCAN,Tnc Fort Bayou,GC,Jackson,031700090604,40.0,30.4712,-88.74162,-6.0,30981,TFBM6,2003-11-04 00:00,2100-01-01 00:00
3936,2018:WY:SCAN,2018,WY,SCAN,Torrington #1,GC,Goshen,101800090503,4180.0,42.07053,-104.14084,-7.0,19540,TRGW4,1993-10-21 00:00,2100-01-01 00:00
3966,2142:NV:SCAN,2142,NV,SCAN,Trough Springs,GC,Clark,160600150101,7860.0,36.37355,-115.78127,-8.0,31755,TRUN2,2007-10-28 00:00,2100-01-01 00:00
3993,2163:UT:SCAN,2163,UT,SCAN,Tule Valley,GC,Millard,160203030103,4600.0,39.23724,-113.45866,-7.0,43927,TULU1,2010-03-08 00:00,2100-01-01 00:00
3994,2034:MS:SCAN,2034,MS,SCAN,Tunica,GC,Tunica,080302040801,190.0,34.6764,-90.41142,-6.0,24682,TNAM6,1999-09-17 00:00,2100-01-01 00:00
4003,2115:AL:SCAN,2115,AL,SCAN,Tuskegee,GC,Macon,031501100503,410.0,32.43455,-85.74802,-6.0,33155,TKSA1,2006-05-18 00:00,2100-01-01 00:00
4018,2226:MO:SCAN,2226,MO,SCAN,Twin Pines Conservation Area,GC,Shannon,110100080401,960.0,36.99024,-91.30943,-6.0,2018MO,TPCM7,2018-05-22 00:00,2100-01-01 00:00
4025,2083:AR:SCAN,2083,AR,SCAN,Uapb Campus-PB,GC,Jefferson,111102070605,230.0,34.25188,-92.02632,-6.0,31334,UAPA4,2004-02-05 00:00,2100-01-01 00:00
4026,2091:AR:SCAN,2091,AR,SCAN,Uapb Dewitt,GC,Arkansas,080203030104,190.0,34.27788,-91.35017,-6.0,32242,DWTA4,2004-05-06 00:00,2100-01-01 00:00
4027,2090:AR:SCAN,2090,AR,SCAN,Uapb Point Remove,GC,Pope,111102030304,310.0,35.20842,-92.92462,-6.0,32243,POIA4,2004-05-04 00:00,2100-01-01 00:00
4028,2085:AR:SCAN,2085,AR,SCAN,Uapb-Earle,GC,Crittenden,080202031212,210.0,35.27732,-90.45031,-6.0,,UAEA4,2004-02-07 00:00,2100-01-01 00:00
4029,2030:AR:SCAN,2030,AR,SCAN,Uapb-Lonoke Farm,GC,Lonoke,080203010401,250.0,34.85,-91.88333,-6.0,24684,LNKA4,1999-09-16 00:00,2100-01-01 00:00
4030,2084:AR:SCAN,2084,AR,SCAN,Uapb-Marianna,GC,Lee,080203040301,220.0,34.7849,-90.81769,-6.0,31335,UAMA4,2004-02-06 00:00,2100-01-01 00:00
4044,2123:VI:SCAN,2123,VI,SCAN,Upper Bethlehem,GC,St. Croix,210200020203,110.0,17.71833,-64.79518,-4.0,34003,UBEV3,2006-11-14 00:00,2100-01-01 00:00
4085,2204:TX:SCAN,2204,TX,SCAN,Uvalde,GC,Uvalde,121101060903,930.0,29.21578,-99.75517,-6.0,,VLDT2,2013-09-17 00:00,2100-01-01 00:00
4086,2196:WI:SCAN,2196,WI,SCAN,UW Platteville,GC,Lafayette,070600050302,1090.0,42.70785,-90.3899,-6.0,,UWPW3,2013-09-04 17:00,2100-01-01 00:00
4096,2234:CA:SCAN,2234,CA,SCAN,Vallecitos,GC,San Benito,180400140302,1620.0,36.45976,-120.70601,-8.0,,,2022-10-26 00:00,2100-01-01 00:00
4100,2035:MS:SCAN,2035,MS,SCAN,Vance,GC,Tallahatchie,080302020505,150.0,34.06301,-90.35843,-6.0,24683,VNCM6,1999-09-17 00:00,2100-01-01 00:00
4111,2162:UT:SCAN,2162,UT,SCAN,Vermillion,GC,Kane,140700070405,6400.0,37.19061,-112.19252,-7.0,40638,VMLU1,2010-04-13 00:00,2100-01-01 00:00
4113,2202:TX:SCAN,2202,TX,SCAN,Vernon,GC,Wilbarger,111302070302,1190.0,34.01635,-99.2464,-6.0,,VNOT2,2013-09-13 00:00,2100-01-01 00:00
4120,2118:MT:SCAN,2118,MT,SCAN,Violett,GC,Liberty,100302040502,3210.0,48.43578,-111.18423,-7.0,34000,VIOM8,2006-10-20 00:00,2100-01-01 00:00
4141,2003:WI:SCAN,2003,WI,SCAN,Wabeno #1,GC,Forest,040301050401,1580.0,45.47351,-88.58584,-6.0,17217,WABW3,1993-10-01 00:00,2100-01-01 00:00
4144,2099:HI:SCAN,2099,HI,SCAN,Waimea Plain,GC,Hawaii,200100000201,3040.0,20.0096,-155.5979,-10.0,32499,WPLH1,2005-02-17 00:00,2100-01-01 00:00
4145,2009:FL:SCAN,2009,FL,SCAN,Wakulla #1,GC,Leon,031200010702,90.0,30.30585,-84.42477,-5.0,18824,WAKF1,1993-10-01 00:00,2100-01-01 00:00
4153,2026:AZ:SCAN,2026,AZ,SCAN,Walnut Gulch #1,GC,Cochise,150502020707,4500.0,31.74368,-110.05185,-7.0,24357,WGHA3,1999-03-19 00:00,2100-01-01 00:00
4171,2013:GA:SCAN,2013,GA,SCAN,Watkinsville #1,GC,Oconee,030701010305,760.0,33.88333,-83.43333,-5.0,19305,WKSG1,1993-10-01 00:00,2100-01-01 00:00
4189,2175:AL:SCAN,2175,AL,SCAN,Wedowee,GC,Randolph,031501080906,940.0,33.33168,-85.51818,-6.0,70256,WEDA1,2010-04-10 00:00,2100-01-01 00:00
4198,2205:TX:SCAN,2205,TX,SCAN,Weslaco,GC,Hidalgo,121102080300,70.0,26.15553,-97.95927,-6.0,,WCOT2,2013-09-16 00:00,2100-01-01 00:00
4208,2139:UT:SCAN,2139,UT,SCAN,West Summit,GC,San Juan,140300050503,6980.0,38.01394,-109.12745,-7.0,34634,WSMU1,2007-09-18 00:00,2100-01-01 00:00
4297,2108:NM:SCAN,2108,NM,SCAN,Willow Wells,GC,Lea,120800040101,4350.0,33.53382,-103.63097,-7.0,30946,WILN5,2005-03-12 00:00,2100-01-01 00:00
4343,2053:AL:SCAN,2053,AL,SCAN,Wtars,GC,Madison,060300020306,770.0,34.90159,-86.53852,-6.0,27978,WTAA1,2002-02-04 00:00,2100-01-01 00:00
4373,2038:SC:SCAN,2038,SC,SCAN,Youmans Farm,GC,Hampton,030601090302,100.0,32.66667,-81.2,-5.0,,YMFS1,1999-11-15 09:00,2100-01-01 00:00
